GeneID,GrupoA_1,GrupoA_2,GrupoA_3,GrupoB_1,GrupoB_2,GrupoB_3,GrupoB_4
1427,14,10,25,39,13,26,22
55171,394,583,907,962,421,507,1320
51726,3034,3357,4616,4896,2220,2946,6351
1974,6259,7422,14092,10718,8120,6474,10815
6043,10,34,39,46,20,17,38
5984,834,1313,1710,1205,1444,735,4134
6480,153,781,251,4468,14,116,2440
116832,107,105,69,66,533,203,142
5648,2,78,60,403,30,333,1245
64108,254,47,217,23,59,45,232
604,1078,2662,1494,10025,2073,974,1756
339929,81,151,120,103,20,113,311
4026,3795,10065,7278,11488,2341,3278,5189
285386,20,18,208,94,9,23,77
55214,759,1194,423,1255,95,659,48
9076,618,685,20,74,28,68,3
3556,1238,7414,1916,20538,1509,8098,1343
152137,3435,4641,12267,8308,3090,3074,8095
2257,58,831,2284,2606,170,1286,231
151963,255,318,318,183,32,130,282
57110,71,70,117,107,67,73,90
84239,8,28,1075,3626,109,175,39
4976,2636,4241,6400,7942,2972,3671,7710
100873941,28,69,96,122,40,51,112
3280,840,623,6526,2305,5825,1248,5433
131578,78,311,30,371,0,23,21
79572,3404,6913,6206,23114,5572,4547,8011
93109,427,514,725,675,315,273,467
55341,1562,2163,3056,2027,1234,1367,3751
152002,802,1982,3147,2589,1008,1663,3189
23527,1474,1531,2515,3677,1974,1555,3271
5504,1737,1349,3604,3206,6459,1487,11156
347,8014,1447,5,64,30,291,1472
727956,186,280,242,468,179,226,325
200958,3,37,12,68,27,96,27
10188,422,2247,5173,3379,1413,1712,2636
255812,280,374,375,666,274,325,503
7037,3542,1673,5337,5510,2913,6493,8662
200931,11,42,25,38,10,16,27
5130,2086,5730,3387,5567,1636,2315,3873
255758,259,348,471,453,207,252,1348
26043,2254,3190,3528,5274,2238,2247,3695
165918,700,910,1442,1725,824,607,1585
348793,359,416,473,353,321,225,661
200933,958,1022,1468,1887,1196,1053,1742
84984,325,223,579,263,137,249,811
54965,875,1159,1879,1340,1032,1299,3100
5062,3959,6641,8661,8856,3877,5440,8052
205564,970,1178,1835,1758,1104,933,1393
22916,4058,5028,6055,7300,3192,4832,6612
152217,456,602,613,606,432,448,1150
80235,6,181,209,68,41,159,126
4241,16,114,91,181,121,56,368
100507057,15,74,63,64,41,77,127
1739,4533,8548,5352,5946,7064,3657,4868
100507086,7,10,10,3,14,3,10
622,104,611,736,816,728,305,918
220729,248,382,292,513,188,265,459
9711,592,1886,1241,2273,548,1419,1708
84248,3335,3838,8189,5976,3711,3335,8345
84859,1251,2549,2079,2308,1093,1750,2114
84223,227,711,836,405,118,359,820
6165,10247,11716,7876,7166,7010,5000,17562
89782,474,742,1025,1337,200,574,726
100873947,22,31,47,69,9,31,32
728262,23,46,83,108,21,63,22
152687,221,455,158,423,300,261,255
255403,189,180,49,300,178,80,162
642280,12,81,4,62,32,12,28
654254,16,48,34,50,21,19,25
7700,216,243,390,716,479,357,280
79963,111,249,122,207,104,259,100
170960,614,941,679,2261,1318,1475,503
54872,713,2177,1085,3167,497,1291,485
5158,3,132,107,311,116,159,1
521,1563,2411,949,1483,1923,1165,1621
4636,90,248,135,187,137,161,113
84179,10,53,55,39,34,44,17
10336,1571,1669,1455,3094,1126,1552,766
100129917,43,67,52,50,31,59,16
2580,1220,2674,2098,3951,1065,1614,1127
84286,254,709,286,938,232,512,246
1609,167,543,406,737,204,370,254
10861,13,74,41,118,11,76,8
3425,90,470,268,511,176,439,42
53834,5389,10203,6962,30582,6671,10007,3523
10417,139,53,10,215,5,3,93
285463,470,864,715,1362,440,748,463
1487,2549,5105,3714,7180,2439,4181,2575
10296,1484,2758,1928,3417,1111,1663,1017
57654,377,484,279,823,345,462,200
7884,1631,2124,2074,2816,1985,1567,2757
92305,748,2374,3483,3244,1112,1720,1513
10460,2085,3784,7156,4140,2583,2162,4369
2261,276,219,1601,89,170,928,193
3954,948,3403,2892,3747,1558,2115,1933
7468,2824,7954,9884,9401,3814,5529,8550
7469,724,1256,1937,2195,940,1157,1148
100126332,11,22,31,35,16,21,18
401115,304,405,186,219,308,203,1198
339983,42,556,287,131,783,1546,1104
353497,39,119,48,101,43,75,79
79441,394,587,783,860,647,543,968
10608,1626,3155,2638,2582,1265,2379,2503
100616358,14,38,43,40,13,36,36
57732,25,228,360,677,116,166,74
6047,1724,3318,4515,4424,2013,2119,3719
8603,850,2190,1880,2454,871,1571,1066
79155,548,986,1098,1169,479,616,849
6452,354,1645,2331,1757,373,1080,1073
118,4905,13103,12547,14386,4515,8699,11293
10227,604,1834,1753,2038,577,918,1125
8602,1364,2455,2321,2577,1048,1354,1249
2868,45,93,30,159,39,102,106
3064,1984,5955,5257,6292,1702,3515,3065
345222,121,278,276,267,107,319,141
6002,1108,4842,2925,1818,992,4499,5154
285489,78,613,114,22,14,173,38
4043,1993,4210,5838,7253,1178,2790,2583
348926,100,207,228,226,86,177,252
85013,421,693,1218,1206,551,646,1137
55646,841,631,839,851,646,412,1134
166793,106,85,204,163,58,114,157
27065,6,168,26,191,3,132,259
53407,765,1126,915,1074,538,724,1190
100507266,23,21,18,30,13,40,31
4487,340,326,224,751,200,521,373
54360,5986,1693,2653,271,5,92,178
55351,1439,6703,5775,817,220,2699,25
132884,92,191,138,311,10,0,43
2121,1624,6026,3903,3002,664,2067,2522
1400,2673,5763,3096,348,108,4687,5855
7466,1022,1468,1736,1300,514,513,835
23324,767,2774,2106,2727,447,1257,801
93621,8681,17697,23632,23384,8280,12232,20523
105374366,21,125,110,68,41,68,150
93622,247,654,834,848,388,603,741
114932,1746,2952,4278,3858,1774,2604,3546
55330,432,448,723,710,215,458,564
9778,3452,2352,2911,4892,2291,2796,2055
57533,1087,2019,3088,3468,999,2608,2523
100129931,422,798,1334,1483,409,1090,974
257236,42,55,91,40,9,48,97
93624,446,991,1033,1357,407,908,1021
80273,963,1402,2116,2361,1000,1140,2348
57537,43,863,33,295,251,574,15
84740,137,772,512,583,27,225,98
60312,2875,16257,11525,12902,501,5679,2049
